Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Subflow Fwd Bytes,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
994,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4024.144869,331.33334,530.28516,943.0,1.0,994.0,497.0,701.44995,993.0,1.0,0.0,0.0,0.0,0.0,0.0,0,104,40,3018.1086,1006.0362,0.0,0.0,0.0,0.0,0,0,0.0,0,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10784,3,4,275.0,935.0,275.0,91.666664,158.77132,935.0,233.75,467.5,112203.265625,649.1098022460938,1797.3334,3589.6895,9049.0,3.0,9420.0,4710.0,6136.2725,9049.0,371.0,10779.0,3593.0,5087.3955,9418.0,22.0,0,72,92,278.1899,370.9199,935.0,151.25,330.98068,109548.21,0,0,172.85715,275,935,65535,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848,1,1,43.0,99.0,43.0,43.0,0.0,99.0,99.0,0.0,167452.830188679,2358.49056603774,848.0,0.0,848.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,1179.2452,1179.2452,99.0,61.666668,32.331615,1045.3334,0,0,92.5,43,99,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61397,2,1,38.0,0.0,38.0,19.0,26.870058,0.0,0.0,0.0,618.9227487,48.86232226,30698.5,43398.68,61386.0,11.0,61397.0,61397.0,0.0,61397.0,61397.0,0.0,0.0,0.0,0.0,0.0,1,40,20,32.574883,16.287441,38.0,19.0,21.93931,481.33334,1,0,25.333334,38,0,176,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26935,1,1,42.0,155.0,42.0,42.0,0.0,155.0,155.0,0.0,7313.903842584,74.2528308892,26935.0,0.0,26935.0,26935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,37.126415,37.126415,155.0,79.666664,65.24058,4256.3335,0,0,119.5,42,155,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61806,2,2,68.0,158.0,34.0,34.0,0.0,79.0,79.0,0.0,3656.602919,64.71863573,20602.0,35600.574,61710.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0,40,40,32.359318,32.359318,79.0,52.0,24.647514,607.5,0,0,65.0,68,158,0,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284236,2,2,64.0,242.0,32.0,32.0,0.0,121.0,121.0,0.0,1076.5701740807,14.0728127331,94745.336,83617.305,160094.0,516.0,283720.0,283720.0,0.0,283720.0,283720.0,124142.0,124142.0,0.0,124142.0,124142.0,0,16,16,7.0364065,7.0364065,121.0,67.6,48.747307,2376.3,0,0,84.5,64,242,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1142904,8,7,1441.0,4696.0,1112.0,180.125,384.34897,1460.0,670.8571,658.7221,5369.6548441514,13.1244618971,81636.0,165412.23,602328.0,2.0,1142904.0,163272.0,210820.42,602328.0,21420.0,447521.0,74586.836,113593.31,283280.0,2.0,0,172,152,6.999713,6.1247487,1460.0,383.5625,559.377,312902.66,0,0,409.13333,1441,4696,8192,1026,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4246583,2,1,1.0,0.0,1.0,0.5,0.70710677,0.0,0.0,0.0,0.235483446,0.706450339,2123291.5,2986555.2,4235105.0,11478.0,4246583.0,4246583.0,0.0,4246583.0,4246583.0,0.0,0.0,0.0,0.0,0.0,0,40,32,0.4709669,0.23548345,1.0,0.5,0.57735026,0.33333334,0,0,0.6666667,1,0,258,176,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3330405,5,4,935.0,389.0,935.0,187.0,418.1447,389.0,97.25,194.5,397.54925537109375,2.70237398147583,416300.62,1126223.8,3203090.0,4.0,3330405.0,832601.25,1580371.9,3203097.0,32071.0,105574.0,35191.332,34224.062,68710.0,303.0,0,168,136,1.5013189,1.2010552,935.0,132.4,307.36304,94472.05,0,0,147.11111,935,389,237,225,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
